_id_: 240;uniprotIds_e: ;uniprotIds: ;
_id_: 241;uniprotIds_e: ;uniprotIds: ;
_id_: 275;uniprotIds_e: ;uniprotIds: ;
_id_: 274;uniprotIds_e: ;uniprotIds: ;
_id_: 273;uniprotIds_e: ;uniprotIds: ;
_id_: 272;uniprotIds_e: ;uniprotIds: ;
_id_: 279;uniprotIds_e: ;uniprotIds: ;
_id_: 278;uniprotIds_e: ;uniprotIds: ;
_id_: 277;uniprotIds_e: ;uniprotIds: ;
_id_: 276;uniprotIds_e: ;uniprotIds: ;
_id_: 283;uniprotIds_e: ;uniprotIds: ;
_id_: 282;uniprotIds_e: ;uniprotIds: ;
_id_: 281;uniprotIds_e: ;uniprotIds: ;
_id_: 280;uniprotIds_e: ;uniprotIds: ;
_id_: 287;uniprotIds_e: ;uniprotIds: ;
_id_: 286;uniprotIds_e: ;uniprotIds: ;
_id_: 285;uniprotIds_e: ;uniprotIds: ;
_id_: 284;uniprotIds_e: ;uniprotIds: ;
_id_: 258;uniprotIds_e: ;uniprotIds: ;
_id_: 259;uniprotIds_e: ;uniprotIds: ;
_id_: 256;uniprotIds_e: ;uniprotIds: ;
_id_: 257;uniprotIds_e: ;uniprotIds: ;
_id_: 262;uniprotIds_e: ;uniprotIds: ;
_id_: 263;uniprotIds_e: ;uniprotIds: ;
_id_: 260;uniprotIds_e: ;uniprotIds: ;
_id_: 261;uniprotIds_e: ;uniprotIds: ;
_id_: 266;uniprotIds_e: ;uniprotIds: ;
_id_: 267;uniprotIds_e: ;uniprotIds: ;
_id_: 264;uniprotIds_e: ;uniprotIds: ;
_id_: 265;uniprotIds_e: ;uniprotIds: ;
_id_: 270;uniprotIds_e: ;uniprotIds: ;
_id_: 271;uniprotIds_e: ;uniprotIds: ;
_id_: 268;uniprotIds_e: ;uniprotIds: ;
_id_: 269;uniprotIds_e: ;uniprotIds: ;
_id_: 305;uniprotIds_e: ;uniprotIds: ;
_id_: 304;uniprotIds_e: ;uniprotIds: ;
_id_: 307;uniprotIds_e: ;uniprotIds: ;
_id_: 306;uniprotIds_e: ;uniprotIds: ;
_id_: 309;uniprotIds_e: ;uniprotIds: ;
_id_: 308;uniprotIds_e: ;uniprotIds: ;
_id_: 311;uniprotIds_e: ;uniprotIds: ;
_id_: 310;uniprotIds_e: ;uniprotIds: ;
_id_: 313;uniprotIds_e: ;uniprotIds: ;
_id_: 312;uniprotIds_e: ;uniprotIds: ;
_id_: 315;uniprotIds_e: ;uniprotIds: ;
_id_: 314;uniprotIds_e: ;uniprotIds: ;
_id_: 317;uniprotIds_e: ;uniprotIds: ;
_id_: 316;uniprotIds_e: ;uniprotIds: ;
_id_: 319;uniprotIds_e: ;uniprotIds: ;
_id_: 318;uniprotIds_e: ;uniprotIds: ;
_id_: 288;uniprotIds_e: ;uniprotIds: ;
_id_: 289;uniprotIds_e: ;uniprotIds: ;
_id_: 290;uniprotIds_e: ;uniprotIds: ;
_id_: 291;uniprotIds_e: ;uniprotIds: ;
_id_: 292;uniprotIds_e: ;uniprotIds: ;
_id_: 293;uniprotIds_e: ;uniprotIds: ;
_id_: 294;uniprotIds_e: ;uniprotIds: ;
_id_: 295;uniprotIds_e: ;uniprotIds: ;
_id_: 296;uniprotIds_e: ;uniprotIds: ;
_id_: 297;uniprotIds_e: ;uniprotIds: ;
_id_: 298;uniprotIds_e: ;uniprotIds: ;
_id_: 299;uniprotIds_e: ;uniprotIds: ;
_id_: 300;uniprotIds_e: ;uniprotIds: ;
_id_: 301;uniprotIds_e: ;uniprotIds: ;
_id_: 302;uniprotIds_e: ;uniprotIds: ;
